episode,timestep,reward
1199,150240,157.392
1202,150720,99.5893
1204,151200,138.4521
1206,151680,111.6135
1208,152160,136.7349
1210,152640,147.9211
1212,153120,157.0703
1215,153600,136.2511
1217,154080,101.1735
1220,154560,119.577
1222,155040,108.796
1224,155520,132.7015
1226,156000,134.5093
1228,156480,131.2386
1230,156960,149.1509
1232,157440,141.9898
1234,157920,130.726
1237,158400,132.2814
1239,158880,139.5265
1241,159360,153.9757
1243,159840,155.9551
1245,160320,127.267
1247,160800,163.7042
1249,161280,157.2941
1251,161760,156.7636
1253,162240,127.3177
1255,162720,125.984
1257,163200,167.6242
1259,163680,153.2571
1261,164160,118.3928
1263,164640,133.2198
1265,165120,137.1972
1268,165600,108.9403
1270,166080,147.6419
1272,166560,159.6529
1274,167040,155.0289
1276,167520,161.3178
1278,168000,159.8938
1280,168480,166.0243
1282,168960,157.7555
1284,169440,101.853
1286,169920,162.9613
1288,170400,154.0457
1290,170880,149.1606
1292,171360,166.496
1294,171840,160.4034
1296,172320,171.2821
1299,172800,132.7419
1301,173280,141.5929
1303,173760,153.5098
1305,174240,167.4787
1307,174720,114.6578
1309,175200,136.8613
1312,175680,90.0825
1314,176160,158.8328
1316,176640,158.6985
1318,177120,123.5755
1320,177600,153.733
1322,178080,160.1523
1324,178560,152.9803
1326,179040,162.5893
1328,179520,151.2331
1331,180000,96.9089
1334,180480,115.0259
1336,180960,156.1322
1338,181440,100.6787
1340,181920,165.6275
1343,182400,102.7598
1345,182880,139.4901
1348,183360,120.3486
1350,183840,164.1946
1352,184320,118.5478
1354,184800,134.2823
1357,185280,104.2872
1359,185760,139.9602
1361,186240,127.1882
1363,186720,71.7573
1366,187200,70.3292
1368,187680,144.313
1371,188160,113.6592
1373,188640,110.527
1376,189120,79.1034
1378,189600,133.2323
1380,190080,131.1462
1382,190560,125.5336
1384,191040,148.8871
1386,191520,111.1416
1389,192000,82.2692
1391,192480,141.2362
1393,192960,143.4076
1395,193440,114.0207
1397,193920,145.0526
1400,194400,123.4211
1403,194880,89.4344
1405,195360,145.463
1407,195840,139.8876
