episode,timestep,reward
44,480,1.1691
81,960,1.2403
118,1440,1.3386
154,1920,1.3759
187,2400,1.519
216,2880,1.5186
243,3360,1.6273
266,3840,1.8789
281,4320,2.0963
302,4800,1.969
318,5280,2.3306
331,5760,2.2083
341,6240,2.4284
359,6720,2.0425
373,7200,2.3849
380,7680,2.4257
392,8160,2.8258
402,8640,3.171
414,9120,2.5998
432,9600,2.5546
443,10080,2.6811
452,10560,3.0039
462,11040,3.9976
473,11520,3.4698
481,12000,5.7006
491,12480,3.8048
500,12960,4.4838
508,13440,4.4941
515,13920,4.7564
523,14400,8.7445
532,14880,9.2421
540,15360,6.2482
550,15840,8.0384
558,16320,9.2671
566,16800,10.2535
575,17280,8.5752
583,17760,8.3531
591,18240,9.5557
599,18720,15.2298
605,19200,15.518
612,19680,23.3726
617,20160,20.7525
623,20640,23.6572
628,21120,33.449
634,21600,30.1505
638,22080,30.8333
644,22560,33.7075
648,23040,38.1373
653,23520,38.2505
658,24000,35.8906
662,24480,32.9415
666,24960,34.656
669,25440,55.1805
674,25920,44.4081
677,26400,59.3185
680,26880,25.7051
684,27360,39.5841
687,27840,47.9083
690,28320,37.2205
694,28800,41.9398
698,29280,46.4923
702,29760,46.3567
707,30240,38.1502
711,30720,32.7729
715,31200,56.2759
718,31680,51.8692
722,32160,48.2575
726,32640,54.5766
730,33120,46.7337
733,33600,63.4387
736,34080,54.6631
738,34560,66.6752
742,35040,53.0251
746,35520,54.4058
748,36000,50.6454
751,36480,73.2532
755,36960,64.674
758,37440,47.1609
762,37920,49.0266
765,38400,45.5121
767,38880,46.0868
770,39360,87.2683
773,39840,58.1729
776,40320,62.0295
778,40800,72.9399
781,41280,65.2811
783,41760,78.9521
787,42240,65.0906
790,42720,56.7034
792,43200,86.0051
795,43680,71.1475
797,44160,80.3356
799,44640,76.1729
802,45120,77.1762
804,45600,106.2336
806,46080,82.3839
808,46560,92.7555
811,47040,84.5654
813,47520,91.1001
815,48000,106.538
818,48480,92.5191
820,48960,79.4054
822,49440,116.2185
824,49920,121.2992
826,50400,93.403
828,50880,95.2001
830,51360,74.1829
832,51840,113.0657
834,52320,98.5373
837,52800,93.3508
839,53280,135.7393
841,53760,114.3339
843,54240,124.7761
845,54720,135.0399
848,55200,89.291
850,55680,101.313
852,56160,120.2331
854,56640,143.8286
857,57120,92.3109
859,57600,65.6025
861,58080,135.4624
863,58560,107.4711
865,59040,147.7319
867,59520,130.8622
870,60000,112.8009
872,60480,145.7191
874,60960,145.6798
876,61440,151.6092
878,61920,147.2512
880,62400,145.5636
882,62880,131.9859
884,63360,151.5267
886,63840,139.9657
888,64320,133.435
890,64800,159.8119
892,65280,127.2172
894,65760,146.5195
896,66240,133.523
898,66720,148.7354
900,67200,136.6088
902,67680,159.8887
904,68160,151.9959
906,68640,158.2325
908,69120,147.5592
910,69600,138.5104
912,70080,126.3343
914,70560,154.5105
916,71040,150.9006
918,71520,149.0332
920,72000,125.0188
922,72480,89.2006
924,72960,130.1828
927,73440,108.398
930,73920,106.0704
932,74400,128.0883
934,74880,150.6426
936,75360,161.7566
938,75840,147.7325
940,76320,146.6111
942,76800,148.5662
944,77280,157.2968
946,77760,120.1133
948,78240,83.2545
950,78720,125.4589
952,79200,134.9721
954,79680,158.7632
956,80160,149.0114
958,80640,136.4138
960,81120,141.7856
962,81600,122.7839
964,82080,126.4079
966,82560,126.8655
969,83040,126.6262
971,83520,66.1892
973,84000,151.4338
975,84480,132.9592
978,84960,111.9735
980,85440,154.0659
982,85920,130.3571
984,86400,137.476
986,86880,90.224
988,87360,147.465
990,87840,145.9218
992,88320,150.1239
994,88800,119.3396
996,89280,153.2808
998,89760,148.928
1000,90240,145.8547
1002,90720,138.2158
1004,91200,146.4087
1006,91680,138.419
1008,92160,140.5024
1010,92640,151.845
1012,93120,156.5492
1014,93600,151.2232
1016,94080,154.8181
1018,94560,159.5704
1020,95040,160.7016
1022,95520,160.3038
1024,96000,163.617
1026,96480,137.0946
1028,96960,148.567
1030,97440,139.8845
1032,97920,146.3399
1034,98400,150.505
1036,98880,145.9509
1038,99360,139.3688
1040,99840,145.2711
1042,100320,161.88
1044,100800,143.4897
1046,101280,150.5794
1048,101760,150.9281
1050,102240,150.8638
1052,102720,161.1043
1054,103200,151.9416
1056,103680,154.4902
1058,104160,160.6342
1060,104640,148.4958
1062,105120,149.5505
1064,105600,157.7181
1066,106080,163.8124
1068,106560,138.4943
1070,107040,147.8216
1072,107520,154.0502
1074,108000,159.3258
1076,108480,138.7092
1078,108960,158.6392
1080,109440,164.5037
1082,109920,154.0953
1085,110400,129.4329
1087,110880,159.4239
1089,111360,160.6349
1091,111840,152.0328
1093,112320,130.0633
1095,112800,77.6288
1097,113280,161.2704
1099,113760,159.481
1101,114240,154.3959
1103,114720,135.1143
1106,115200,113.1752
1108,115680,127.3224
1110,116160,149.1443
1112,116640,130.9338
1114,117120,125.5337
1116,117600,139.2069
1118,118080,152.2363
1120,118560,139.5451
1122,119040,138.7849
1124,119520,82.3727
1126,120000,146.4033
1129,120480,115.9432
1132,120960,101.7464
1134,121440,150.2872
1136,121920,154.23
1138,122400,159.3671
1140,122880,159.7596
1142,123360,145.4627
1144,123840,145.3708
1146,124320,163.9686
1148,124800,130.4356
1151,125280,56.0255
1153,125760,135.0331
1155,126240,122.4225
1157,126720,150.054
1159,127200,152.1672
1161,127680,122.0809
1163,128160,115.2948
1165,128640,162.1628
1167,129120,130.6855
1170,129600,129.4791
1172,130080,150.5909
1174,130560,153.4812
1176,131040,139.3617
1178,131520,137.8034
1180,132000,76.6487
1182,132480,150.141
1184,132960,147.683
1186,133440,160.3062
1188,133920,127.1328
1190,134400,142.3108
1192,134880,141.6134
1194,135360,142.3717
1197,135840,103.903
1199,136320,146.0593
1202,136800,101.0147
1204,137280,132.1884
1206,137760,158.1588
1208,138240,156.3591
1210,138720,131.9619
1212,139200,90.3095
1214,139680,128.0668
1216,140160,150.7554
1218,140640,120.8062
1222,141120,64.0755
1224,141600,129.5768
1226,142080,147.4115
1228,142560,122.0209
