episode,timestep,reward
34,480,18.2883
73,960,16.912
106,1440,17.864
135,1920,22.193
161,2400,22.1572
184,2880,24.2137
201,3360,29.0983
215,3840,31.9511
234,4320,31.048
252,4800,30.1517
263,5280,40.2849
275,5760,37.8923
290,6240,38.6294
305,6720,36.5063
317,7200,38.355
328,7680,42.0588
337,8160,50.2064
343,8640,50.8022
346,9120,84.7891
350,9600,75.2731
357,10080,58.7069
365,10560,62.784
368,11040,85.3742
370,11520,132.232
373,12000,138.6434
378,12480,71.2024
382,12960,88.2375
385,13440,100.8262
388,13920,227.0469
391,14400,111.495
396,14880,107.4417
401,15360,113.0547
403,15840,158.8758
407,16320,131.9482
410,16800,119.5528
414,17280,174.1521
416,17760,179.7184
419,18240,150.3703
421,18720,305.5832
423,19200,199.3345
426,19680,231.0985
429,20160,182.1691
432,20640,184.737
434,21120,258.287
436,21600,155.949
439,22080,186.1136
441,22560,272.5165
444,23040,225.7821
446,23520,336.9813
449,24000,204.2
452,24480,159.4197
455,24960,235.9101
458,25440,209.2561
461,25920,188.1454
463,26400,239.6864
465,26880,386.591
468,27360,214.1787
470,27840,275.3461
473,28320,292.5213
475,28800,183.0409
477,29280,381.5401
480,29760,338.2938
482,30240,293.4832
484,30720,240.6777
486,31200,395.8676
488,31680,270.0821
490,32160,344.8689
493,32640,288.8334
495,33120,361.6709
497,33600,344.359
499,34080,351.839
501,34560,415.5197
504,35040,315.7413
506,35520,413.7615
508,36000,441.6716
510,36480,425.5529
512,36960,430.5951
514,37440,340.0095
516,37920,235.581
518,38400,406.7774
520,38880,416.5353
522,39360,425.1027
525,39840,358.4673
527,40320,375.0053
529,40800,290.8679
531,41280,375.1861
534,41760,316.6203
537,42240,328.6357
539,42720,283.3048
542,43200,216.9988
544,43680,394.2883
546,44160,390.2538
548,44640,413.5032
550,45120,422.765
553,45600,269.6613
555,46080,438.7593
557,46560,422.0498
559,47040,359.0081
561,47520,358.6831
564,48000,359.9412
566,48480,432.0615
568,48960,440.7851
570,49440,442.9053
572,49920,355.1982
574,50400,440.3052
576,50880,435.9079
578,51360,450.3686
581,51840,232.3657
584,52320,348.972
586,52800,345.699
588,53280,377.4767
590,53760,352.077
592,54240,323.046
594,54720,450.3585
596,55200,439.3374
598,55680,434.9314
600,56160,454.5368
602,56640,451.274
604,57120,439.9411
607,57600,437.705
609,58080,455.4494
611,58560,451.7947
613,59040,323.0646
615,59520,451.0742
618,60000,330.8735
620,60480,396.2945
622,60960,432.7496
624,61440,420.0971
626,61920,452.5025
628,62400,445.2041
630,62880,443.5042
632,63360,443.915
634,63840,442.7574
636,64320,452.9547
638,64800,447.1176
640,65280,451.3065
642,65760,429.9286
644,66240,418.9654
646,66720,422.9988
648,67200,442.3723
651,67680,326.6493
653,68160,299.406
655,68640,329.7184
657,69120,374.2837
659,69600,439.8472
663,70080,255.7919
665,70560,439.3237
667,71040,445.7493
669,71520,446.1141
671,72000,380.0186
673,72480,403.4198
675,72960,427.9721
677,73440,451.0382
679,73920,439.8691
682,74400,381.2624
684,74880,418.1912
686,75360,299.5081
688,75840,369.7486
690,76320,423.7358
692,76800,275.5552
694,77280,431.974
696,77760,410.3794
698,78240,373.0958
701,78720,210.5133
703,79200,315.7301
705,79680,384.6118
707,80160,423.5839
709,80640,392.3329
711,81120,400.7284
713,81600,338.2049
715,82080,419.0996
717,82560,377.727
719,83040,416.3757
721,83520,387.6674
723,84000,394.0994
725,84480,374.764
727,84960,393.5474
729,85440,393.1507
731,85920,365.2975
733,86400,425.7469
735,86880,432.9215
737,87360,376.795
739,87840,400.359
741,88320,419.5413
743,88800,422.2382
745,89280,428.1029
747,89760,341.3535
749,90240,385.92
751,90720,392.3953
753,91200,399.4482
755,91680,424.1404
757,92160,419.4961
759,92640,388.0884
762,93120,268.6586
764,93600,216.6597
766,94080,216.0641
768,94560,408.5241
770,95040,344.7022
772,95520,296.6389
774,96000,391.6549
776,96480,258.0769
778,96960,380.3693
780,97440,293.7156
782,97920,300.938
784,98400,278.4405
786,98880,224.053
789,99360,201.1548
791,99840,263.7121
793,100320,290.4992
795,100800,296.1549
797,101280,348.0845
799,101760,172.3286
801,102240,228.8278
803,102720,360.7992
805,103200,355.8404
807,103680,389.5097
809,104160,419.0146
811,104640,397.1138
813,105120,400.9565
815,105600,372.7368
817,106080,418.0463
819,106560,406.4718
821,107040,398.4698
823,107520,415.8368
825,108000,375.6231
828,108480,352.8061
830,108960,399.2889
832,109440,414.6988
834,109920,424.1376
836,110400,418.99
838,110880,399.653
840,111360,402.8768
842,111840,411.149
844,112320,411.6706
846,112800,416.4171
848,113280,375.5908
850,113760,367.2059
852,114240,381.9062
854,114720,370.5453
856,115200,380.9744
858,115680,365.736
860,116160,389.1477
862,116640,342.4748
864,117120,407.6481
866,117600,367.5103
868,118080,265.9176
870,118560,297.185
872,119040,346.8671
874,119520,359.9721
877,120000,287.3432
879,120480,412.982
881,120960,399.2865
883,121440,374.4904
885,121920,410.8708
887,122400,406.1951
889,122880,423.4675
891,123360,354.8052
893,123840,423.439
895,124320,320.2746
897,124800,331.4171
899,125280,432.2347
901,125760,336.6902
903,126240,341.6953
905,126720,381.8395
907,127200,345.6008
909,127680,434.5943
911,128160,374.9523
913,128640,370.7481
915,129120,397.7517
918,129600,358.1699
920,130080,431.8172
922,130560,299.8886
924,131040,440.0817
926,131520,352.7804
928,132000,425.9914
930,132480,451.7264
932,132960,419.4812
934,133440,445.2712
936,133920,425.0281
938,134400,445.2582
940,134880,418.3487
942,135360,399.5029
944,135840,423.6641
946,136320,408.3026
948,136800,434.0961
950,137280,437.0868
952,137760,377.7509
954,138240,424.7998
956,138720,414.0753
958,139200,289.866
960,139680,424.571
962,140160,431.0397
964,140640,452.2635
966,141120,427.087
968,141600,431.9856
970,142080,438.9971
972,142560,443.6731
974,143040,412.0293
976,143520,392.3639
978,144000,411.537
980,144480,401.1206
982,144960,421.4912
984,145440,434.5957
987,145920,367.4952
989,146400,302.1224
991,146880,417.0247
994,147360,421.5365
996,147840,442.8585
998,148320,372.704
1000,148800,422.8292
1002,149280,441.9602
1004,149760,410.7011
1006,150240,437.5545
1008,150720,373.8097
1010,151200,409.4213
1012,151680,434.9231
1014,152160,413.4624
1016,152640,338.2593
1018,153120,425.0096
1020,153600,328.1952
1022,154080,439.9416
1024,154560,417.9871
1026,155040,430.7913
1028,155520,428.2801
1030,156000,388.624
1032,156480,449.3172
1034,156960,430.3864
1036,157440,438.5963
1038,157920,448.9515
1040,158400,362.6343
1042,158880,429.5628
1044,159360,389.1178
1046,159840,434.5294
1048,160320,443.6697
1050,160800,423.0514
1052,161280,420.8094
1054,161760,402.6542
1056,162240,450.0244
1058,162720,406.3761
1060,163200,426.5428
1062,163680,448.573
1064,164160,446.2416
1066,164640,451.0113
1068,165120,366.8549
1070,165600,434.4617
1072,166080,422.3376
1075,166560,377.5079
1077,167040,359.575
1079,167520,362.4005
1081,168000,399.7724
1083,168480,396.0319
1085,168960,432.1072
1087,169440,334.4791
1089,169920,404.2057
1091,170400,436.1206
1093,170880,306.077
1096,171360,313.3427
1098,171840,435.9045
1100,172320,408.9355
1102,172800,364.4263
1104,173280,426.9361
1106,173760,416.0321
1108,174240,413.0125
1110,174720,391.0973
1112,175200,417.2097
1114,175680,414.4439
1116,176160,401.2846
1118,176640,400.9502
1120,177120,365.1328
1122,177600,411.1772
1124,178080,309.663
1126,178560,335.305
1128,179040,395.6898
1130,179520,408.8586
1132,180000,288.6905
1134,180480,322.5583
1136,180960,370.8768
1138,181440,381.2979
1140,181920,375.5949
1143,182400,361.5475
1145,182880,376.11
1147,183360,312.9185
1149,183840,418.1184
1151,184320,428.6747
1153,184800,263.2813
1155,185280,430.9184
1157,185760,413.3437
1160,186240,392.5925
1162,186720,265.8857
1164,187200,370.8969
1166,187680,333.1009
1168,188160,438.7992
1170,188640,419.4711
1172,189120,411.6825
1175,189600,400.5206
1177,190080,347.9426
1179,190560,424.9639
1181,191040,266.9723
1183,191520,395.6027
1185,192000,441.2373
1187,192480,338.7047
1189,192960,447.1481
1192,193440,319.118
1194,193920,325.4004
1196,194400,401.8112
1198,194880,447.0829
1200,195360,377.936
1202,195840,429.8775
1205,196320,348.9416
1207,196800,424.5496
1209,197280,358.2084
1211,197760,407.2715
1213,198240,357.3693
1215,198720,386.8543
1217,199200,429.6932
1220,199680,322.7506
1222,200160,345.9623
1224,200640,404.2969
1226,201120,427.6581
1228,201600,431.7141
1230,202080,312.1751
1232,202560,422.1924
1234,203040,422.1137
1237,203520,356.6799
1239,204000,396.0801
1241,204480,309.8013
1243,204960,296.7347
1246,205440,343.1319
1248,205920,415.1336
1250,206400,221.406
1252,206880,425.5898
1254,207360,339.1516
1256,207840,327.7108
1258,208320,329.6834
1260,208800,412.7598
1263,209280,386.1912
1265,209760,427.7952
1267,210240,390.9086
1269,210720,433.2486
1271,211200,410.5314
1273,211680,387.9849
1275,212160,427.2159
1277,212640,438.6721
1279,213120,429.0894
1281,213600,456.0411
1283,214080,442.5295
1285,214560,426.5576
1287,215040,455.9978
1289,215520,447.6648
