episode,timestep,reward
32,480,1.4117
66,960,1.4745
102,1440,1.3989
129,1920,1.7207
151,2400,1.8367
175,2880,1.7157
186,3360,1.9509
200,3840,1.9822
217,4320,2.0974
232,4800,2.0536
247,5280,2.3405
258,5760,2.5248
267,6240,2.879
277,6720,2.8668
287,7200,3.0917
298,7680,2.7895
308,8160,3.6771
321,8640,2.591
331,9120,3.8617
338,9600,4.2795
350,10080,4.7273
359,10560,4.2646
368,11040,5.5166
377,11520,6.7094
384,12000,12.9803
390,12480,8.0481
395,12960,11.6961
401,13440,18.1154
405,13920,24.5375
409,14400,10.895
414,14880,21.9387
418,15360,33.0042
422,15840,29.874
427,16320,21.7576
432,16800,24.3829
434,17280,75.4359
438,17760,22.349
441,18240,11.5698
444,18720,43.7862
448,19200,23.3887
453,19680,16.1899
457,20160,32.0481
460,20640,47.8362
463,21120,42.7896
466,21600,25.9007
470,22080,32.1136
474,22560,31.9973
476,23040,52.3579
479,23520,30.1979
483,24000,41.6473
487,24480,30.1638
491,24960,27.7861
494,25440,38.9851
497,25920,39.6601
500,26400,46.3447
503,26880,48.8719
507,27360,32.9724
511,27840,31.6576
514,28320,35.5492
517,28800,55.0662
520,29280,45.1963
524,29760,37.536
527,30240,24.4752
531,30720,33.2734
535,31200,36.7984
538,31680,38.0054
541,32160,42.4754
544,32640,51.8288
547,33120,41.9151
549,33600,45.8598
552,34080,58.3067
555,34560,53.7455
557,35040,53.4443
559,35520,54.1558
563,36000,52.6172
565,36480,52.3607
568,36960,44.4938
571,37440,53.3892
573,37920,60.6328
576,38400,63.9646
578,38880,64.0247
580,39360,82.2036
582,39840,70.8788
585,40320,57.8716
587,40800,48.8933
590,41280,59.5551
592,41760,61.1472
594,42240,66.2601
597,42720,60.4815
599,43200,63.4304
601,43680,62.7384
603,44160,81.6687
605,44640,79.6172
607,45120,105.7346
610,45600,76.7845
612,46080,83.5
614,46560,48.2543
617,47040,82.3762
619,47520,85.7944
621,48000,80.0878
624,48480,68.1867
627,48960,47.2586
630,49440,68.9133
632,49920,62.3101
635,50400,74.4341
637,50880,82.1514
641,51360,47.2547
643,51840,107.3738
646,52320,76.9811
649,52800,61.6684
651,53280,77.6698
654,53760,80.0901
656,54240,103.5091
658,54720,87.7092
660,55200,107.0651
662,55680,78.3682
664,56160,85.3022
667,56640,58.1709
669,57120,77.7943
671,57600,92.8748
673,58080,88.309
675,58560,108.6772
677,59040,90.9899
680,59520,75.4794
682,60000,67.3634
684,60480,87.6676
687,60960,75.6775
689,61440,97.1652
691,61920,82.0316
693,62400,70.1517
695,62880,101.7267
697,63360,83.2118
699,63840,97.9631
702,64320,79.3565
705,64800,66.9547
707,65280,84.8621
709,65760,66.3104
